AskedPrice,FinalPrice,Surface,Room number,Sold date
8000000,8350000,NaN,NaN,2015-12-05,
1995000,2400000,49,2,2015-12-04,
1695000,1695000,36,1,2015-12-04,
1990000,2225000,57,2,2015-12-03,
6150000,7025000,113,5,2015-12-03,
2795000,3250000,81.2,3,2015-12-03,
NaN,2655000,47,2,2015-12-03,
1895000,2560000,64.6,2,2015-12-02,
6450000,6200000,113,5,2015-12-02,
2950000,3350000,53,2,2015-12-01,
2495000,2515000,67,3,2015-12-01,
1975000,2370000,35.5,2,2015-11-30,
5650000,5450000,105,3,2015-11-30,
2195000,2600000,63,2,2015-11-30,
5800000,6500000,113,5,2015-11-30,
3850000,3900000,65,2,2015-11-27,
1450000,1720000,36.1,1,2015-11-26,
1495000,1625000,28,1,2015-11-26,
3850000,4400000,99,4,2015-11-26,
1995000,2500000,38.5,1,2015-11-26,
3975000,4850000,80,3,2015-11-25,
2595000,2600000,72.2,3,2015-11-25,
1995000,1995000,58,2,2015-11-24,
4375000,4450000,83,3,2015-11-23,
5600000,5600000,95,3,2015-11-23,
2950000,3050000,78,3,2015-11-20,
2700000,2660000,61,2,2015-11-20,
2495000,2600000,65,2,2015-11-20,
13250000,13600000,190,7,2015-11-20,
8575000,9250000,179,7,2015-11-18,
3950000,4700000,97.6,4,2015-11-18,
3290000,3250000,54,2,2015-11-18,
2700000,2900000,69.5,3,2015-11-17,
3195000,3325000,63.5,2,2015-11-13,
2595000,2925000,36.9,2,2015-11-13,
2750000,2900000,78,3,2015-11-13,
1950000,2050000,32,1,2015-11-12,
6250000,7475000,125,5,2015-11-12,
2820000,3000000,69.5,3,2015-11-11,
1595000,1965000,41.7,1,2015-11-11,
2795000,2795000,73.5,3,2015-11-11,
2700000,2700000,69.5,3,2015-11-10,
3795000,4070000,80,3,2015-11-10,
2950000,3200000,50,3,2015-11-10,
1495000,1820000,40.3,1,2015-11-08,
5600000,5860000,99,4,2015-11-08,
4700000,5150000,95,4,2015-11-07,
2395000,2850000,47,2,2015-11-07,
2950000,2900000,72,3,2015-11-06,
7950000,8700000,152,7,2015-11-06,
4200000,4600000,71,3.5,2015-11-06,
3995000,4300000,60,2,2015-11-06,
11500000,10600000,216,9,2015-11-06,
2995000,2995000,61,2,2015-11-05,
3950000,4535000,63,2,2015-11-05,
2750000,2850000,78,4,2015-11-04,
2700000,3320000,75,3,2015-11-04,
1995000,2300000,64.3,2,2015-11-04,
2550000,3050000,70,3,2015-11-03,
4495000,4900000,87,4,2015-11-03,
1850000,2500000,34.5,1.5,2015-11-02,
2750000,3000000,63,3,2015-11-01,
