AskedPrice,FinalPrice,Surface,Room number,Sold date
2575000,2500000,86,4,2013-05-27,
4750000,4900000,109,4,2013-05-23,
2395000,2395000,78.3,3.5,2013-05-23,
4995000,5000000,125,5,2013-05-23,
2495000,2650000,63,3,2013-05-22,
1800000,1900000,78.1,3,2013-05-21,
7800000,7825000,200,7,2013-05-17,
2175000,2125000,78,3,2013-05-16,
1250000,1420000,29,1,2013-05-15,
2745000,2745000,NaN, ,2013-05-14,
2995000,2995000,76,3,2013-05-13,
1475000,1400000,34.5,1,2013-05-13,
1695000,1695000,42,2,2013-05-13,
1395000,1440000,38,1,2013-05-11,
1050000,1190000,39,1,2013-05-10,
2250000,2250000,62,2,2013-05-10,
2495000,2300000,78.3,3,2013-05-08,
2200000,2375000,77.5,3,2013-05-08,
995000,1270000,26,1,2013-04-30,
1250000,1250000,39,1,2013-04-30,
1375000,1400000,44,2,2013-04-30,
2100000,2050000,78,4,2013-04-28,
3400000,3500000,110,4,2013-04-26,
4750000,4590000,111,4,2013-04-26,
2195000,2540000,77.5,3,2013-04-25,
3300000,3300000,91,4,2013-04-24,
4500000,4450000,103,3,2013-04-23,
1745000,1745000,42,2,2013-04-22,
1695000,1695000,42,2,2013-04-17,
1950000,2000000,78,3,2013-04-17,
1850000,1925000,78.1,3,2013-04-06,
1450000,1600000,50,2,2013-04-05,
3630000,3630000,110,4,2013-03-26,
2245000,2245000,NaN, ,2013-03-26,
2245000,2245000,NaN, ,2013-03-26,
6100000,6100000,131,5,2013-03-25,
1850000,1850000,67,3,2013-03-25,
2695000,2695000,75,3,2013-03-21,
2450000,2625000,72,3,2013-03-20,
2050000,2200000,81,3,2013-03-20,
850000,900000,26,1,2013-03-19,
1925000,1945000,78.1,3,2013-03-18,
1600000,1600000,61.6,2,2013-03-15,
1600000,1650000,62.5,2,2013-03-15,
8450000,8050000,280,8,2013-03-14,
2045000,2300000,74.5,3,2013-03-14,
1150000,1320000,41,1,2013-03-11,
8600000,8850000,NaN, ,2013-03-10,
11450000,11450000,237,7,2013-03-06,
2545000,2900000,72,3,2013-03-06,
1675000,1900000,52,2,2013-03-05,
1695000,1695000,64.6,2,2013-03-04,
1495000,1475000,29,2,2013-03-01,
2750000,2750000,69,2.5,2013-02-28,
2275000,2275000,52.3,2,2013-02-28,
2050000,2050000,75.2,3,2013-02-22,
2250000,2250000,72,3,2013-02-22,
2495000,2495000,NaN, ,2013-02-21,
1495000,1495000,43,2,2013-02-20,
2795000,2795000,74,3,2013-02-19,
1895000,1975000,46,2,2013-02-19,
1795000,1795000,NaN, ,2013-02-15,
1850000,2210000,NaN, ,2013-02-14,
1775000,1775000,NaN, ,2013-02-13,
2495000,2550000,77,2,2013-02-12,
1695000,1695000,NaN, ,2013-02-10,
1925000,1925000,69.5,3,2013-02-08,
1745000,1745000,NaN, ,2013-02-08,
1525000,1500000,52.5,2,2013-02-08,
1775000,1875000,57.5,2,2013-02-07,
5200000,5000000,NaN, ,2013-02-06,
1495000,1450000,NaN, ,2013-02-03,
7600000,7200000,180,7,2013-02-02,
2195000,2150000,75,3,2013-02-01,
1825000,1800000,69.5,3,2013-01-31,
1625000,1625000,NaN, ,2013-01-30,
2750000,2445000,69,3,2013-01-28,
1950000,1850000,NaN, ,2013-01-28,
5075000,5075000,NaN, ,2013-01-28,
2250000,2265000,73,3,2013-01-26,
2250000,2250000,NaN, ,2013-01-24,
1995000,1995000,NaN, ,2013-01-21,
3895000,3895000,116,4.5,2013-01-18,
1895000,1980000,44,2,2013-01-16,
4250000,4275000,112.5,5,2013-01-15,
1645000,1645000,NaN, ,2013-01-11,
1695000,1695000,NaN, ,2013-01-11,
1395000,1410000,NaN, ,2013-01-09,
2295000,3025000,NaN, ,2013-01-09,
1645000,1645000,NaN, ,2012-12-20,
2250000,2250000,NaN, ,2012-12-14,
1050000,1250000,NaN, ,2012-12-04,
3600000,3600000,NaN, ,2012-11-27,
4450000,4450000,NaN, ,2012-11-26,
1645000,1645000,NaN, ,2012-11-09,
1595000,1595000,NaN, ,2012-11-08,
1495000,1495000,NaN, ,2012-10-31,
1800000,1800000,NaN, ,2012-10-26,
1600000,1575000,61.6,2,2012-05-31,
